,PROPERTY_ID,DATE,WiFi Occupants,Workpoint Capacity
0,NRA1933,2024-02-23,1,118
1,TWNAKANG,2024-02-23,37,219
2,CNZGCDBW,2024-02-23,340,1105
3,US151870,2024-02-23,5,227
4,AUBALLAR,2024-02-23,11,306
5,NRA1933,2024-02-22,39,118
6,TWNAKANG,2024-02-22,65,219
7,AUBALLAR,2024-02-22,54,306
8,US151870,2024-02-22,53,227
9,CNZGCDBW,2024-02-22,570,1105
10,CNZGCDBW,2024-02-21,342,1105
11,NRA1933,2024-02-21,34,118
12,AUBALLAR,2024-02-21,53,306
13,US151870,2024-02-21,53,227
14,TWNAKANG,2024-02-21,54,219
15,US151870,2024-02-20,53,227
16,TWNAKANG,2024-02-20,60,219
17,AUBALLAR,2024-02-20,61,306
18,NRA1933,2024-02-20,36,118
19,CNZGCDBW,2024-02-20,449,1105
20,TWNAKANG,2024-02-19,58,219
21,CNZGCDBW,2024-02-19,398,1105
22,US151870,2024-02-19,24,227
23,NRA1933,2024-02-19,2,118
24,AUBALLAR,2024-02-19,27,306
25,AUBALLAR,2024-02-16,7,306
26,NRA1933,2024-02-16,1,118
27,CNZGCDBW,2024-02-16,24,1105
28,TWNAKANG,2024-02-16,26,219
29,US151870,2024-02-16,14,227
30,CNZGCDBW,2024-02-15,20,1105
31,US151870,2024-02-15,56,227
32,NRA1933,2024-02-15,43,118
33,TWNAKANG,2024-02-15,42,219
34,AUBALLAR,2024-02-15,52,306
35,US151870,2024-02-14,88,227
36,CNZGCDBW,2024-02-14,18,1105
37,AUBALLAR,2024-02-14,43,306
38,TWNAKANG,2024-02-14,9,219
39,NRA1933,2024-02-14,37,118
40,AUBALLAR,2024-02-13,55,306
41,US151870,2024-02-13,43,227
42,NRA1933,2024-02-13,41,118
43,TWNAKANG,2024-02-13,8,219
44,CNZGCDBW,2024-02-13,21,1105
45,CNZGCDBW,2024-02-12,17,1105
46,TWNAKANG,2024-02-12,8,219
47,AUBALLAR,2024-02-12,53,306
48,NRA1933,2024-02-12,1,118
49,US151870,2024-02-12,43,227
50,TWNAKANG,2024-02-09,8,219
51,CNZGCDBW,2024-02-09,17,1105
52,US151870,2024-02-09,16,227
53,AUBALLAR,2024-02-09,14,306
54,NRA1933,2024-02-09,2,118
55,US151870,2024-02-08,6,227
56,AUBALLAR,2024-02-08,41,306
57,TWNAKANG,2024-02-08,7,219
58,NRA1933,2024-02-08,22,118
59,CNZGCDBW,2024-02-08,13,1105
60,NRA1933,2024-02-07,36,118
61,US151870,2024-02-07,78,227
62,AUBALLAR,2024-02-07,78,306
63,TWNAKANG,2024-02-07,12,219
64,CNZGCDBW,2024-02-07,142,1105
65,AUBALLAR,2024-02-06,80,306
66,NRA1933,2024-02-06,48,118
67,TWNAKANG,2024-02-06,50,219
68,CNZGCDBW,2024-02-06,244,1105
69,US151870,2024-02-06,57,227
70,TWNAKANG,2024-02-05,39,219
71,NRA1933,2024-02-05,7,118
72,US151870,2024-02-05,37,227
73,CNZGCDBW,2024-02-05,303,1105
74,AUBALLAR,2024-02-05,69,306
75,US151870,2024-02-02,47,227
76,NRA1933,2024-02-02,3,118
77,AUBALLAR,2024-02-02,12,306
78,TWNAKANG,2024-02-02,35,219
79,CNZGCDBW,2024-02-02,337,1105
80,US151870,2024-02-01,91,227
81,NRA1933,2024-02-01,36,118
82,CNZGCDBW,2024-02-01,489,1105
83,AUBALLAR,2024-02-01,66,306
84,TWNAKANG,2024-02-01,63,219
85,CNZGCDBW,2024-01-31,556,1105
86,US151870,2024-01-31,158,227
87,TWNAKANG,2024-01-31,61,219
88,AUBALLAR,2024-01-31,67,306
89,NRA1933,2024-01-31,42,118
90,AUBALLAR,2024-01-30,71,306
91,NRA1933,2024-01-30,40,118
92,US151870,2024-01-30,115,227
93,CNZGCDBW,2024-01-30,535,1105
94,TWNAKANG,2024-01-30,57,219
95,TWNAKANG,2024-01-29,43,219
96,US151870,2024-01-29,48,227
97,CNZGCDBW,2024-01-29,549,1105
98,AUBALLAR,2024-01-29,50,306
99,NRA1933,2024-01-29,3,118
100,NRA1933,2024-01-26,4,118
101,TWNAKANG,2024-01-26,34,219
102,CNZGCDBW,2024-01-26,403,1105
103,US151870,2024-01-26,23,227
104,NRA1933,2024-01-25,39,118
105,TWNAKANG,2024-01-25,59,219
106,AUBALLAR,2024-01-25,50,306
107,US151870,2024-01-25,108,227
108,CNZGCDBW,2024-01-25,537,1105
109,US151870,2024-01-24,112,227
110,AUBALLAR,2024-01-24,72,306
111,TWNAKANG,2024-01-24,47,219
112,CNZGCDBW,2024-01-24,571,1105
113,NRA1933,2024-01-24,29,118
114,CNZGCDBW,2024-01-23,597,1105
115,AUBALLAR,2024-01-23,64,306
116,US151870,2024-01-23,125,227
117,NRA1933,2024-01-23,35,118
118,TWNAKANG,2024-01-23,44,219
119,TWNAKANG,2024-01-22,39,219
120,NRA1933,2024-01-22,2,118
121,AUBALLAR,2024-01-22,61,306
122,US151870,2024-01-22,36,227
123,CNZGCDBW,2024-01-22,577,1105
124,AUBALLAR,2024-01-19,11,306
125,NRA1933,2024-01-19,3,118
126,TWNAKANG,2024-01-19,35,219
127,CNZGCDBW,2024-01-19,419,1105
128,US151870,2024-01-19,18,227
129,NRA1933,2024-01-18,1,118
130,TWNAKANG,2024-01-18,60,219
131,US151870,2024-01-18,83,227
132,CNZGCDBW,2024-01-18,538,1105
133,AUBALLAR,2024-01-18,55,306
134,CNZGCDBW,2024-01-17,605,1105
135,NRA1933,2024-01-17,0,118
136,TWNAKANG,2024-01-17,61,219
137,US151870,2024-01-17,103,227
138,AUBALLAR,2024-01-17,50,306
139,NRA1933,2024-01-16,24,118
140,AUBALLAR,2024-01-16,49,306
141,CNZGCDBW,2024-01-16,604,1105
142,TWNAKANG,2024-01-16,56,219
143,US151870,2024-01-16,37,227
144,AUBALLAR,2024-01-15,51,306
145,US151870,2024-01-15,2,227
146,NRA1933,2024-01-15,0,118
147,TWNAKANG,2024-01-15,43,219
148,CNZGCDBW,2024-01-15,602,1105
149,US151870,2024-01-12,9,227
150,AUBALLAR,2024-01-12,10,306
151,NRA1933,2024-01-12,2,118
152,CNZGCDBW,2024-01-12,440,1105
153,TWNAKANG,2024-01-12,28,219
154,CNZGCDBW,2024-01-11,567,1105
155,US151870,2024-01-11,59,227
156,TWNAKANG,2024-01-11,65,219
157,AUBALLAR,2024-01-11,47,306
158,NRA1933,2024-01-11,43,118
159,TWNAKANG,2024-01-10,57,219
160,US151870,2024-01-10,61,227
161,AUBALLAR,2024-01-10,48,306
162,CNZGCDBW,2024-01-10,600,1105
163,NRA1933,2024-01-10,30,118
164,US151870,2024-01-09,59,227
165,NRA1933,2024-01-09,40,118
166,CNZGCDBW,2024-01-09,685,1105
167,AUBALLAR,2024-01-09,53,306
168,TWNAKANG,2024-01-09,65,219
169,NRA1933,2024-01-08,2,118
170,AUBALLAR,2024-01-08,49,306
171,TWNAKANG,2024-01-08,47,219
172,CNZGCDBW,2024-01-08,697,1105
173,US151870,2024-01-08,25,227
174,AUBALLAR,2024-01-05,0,306
175,NRA1933,2024-01-05,0,118
176,CNZGCDBW,2024-01-05,459,1105
177,US151870,2024-01-05,14,227
178,TWNAKANG,2024-01-05,34,219
179,TWNAKANG,2024-01-04,65,219
180,NRA1933,2024-01-04,31,118
181,CNZGCDBW,2024-01-04,641,1105
182,US151870,2024-01-04,70,227
183,TWNAKANG,2024-01-03,55,219
184,CNZGCDBW,2024-01-03,693,1105
185,NRA1933,2024-01-03,26,118
186,US151870,2024-01-03,63,227
187,AUBALLAR,2024-01-03,0,306
188,CNZGCDBW,2024-01-02,649,1105
189,US151870,2024-01-02,52,227
190,TWNAKANG,2024-01-02,58,219
191,NRA1933,2024-01-02,23,118
192,NRA1933,2024-01-01,0,118
193,CNZGCDBW,2024-01-01,49,1105
194,TWNAKANG,2024-01-01,15,219
195,NRA1933,2023-12-29,0,118
196,CNZGCDBW,2023-12-29,367,1105
197,TWNAKANG,2023-12-29,26,219
198,US151870,2023-12-29,0,227
199,AUBALLAR,2023-12-29,1,306
200,NRA1933,2023-12-28,4,118
201,TWNAKANG,2023-12-28,58,219
202,US151870,2023-12-28,0,227
203,CNZGCDBW,2023-12-28,508,1105
204,NRA1933,2023-12-27,2,118
205,TWNAKANG,2023-12-27,53,219
206,CNZGCDBW,2023-12-27,633,1105
207,US151870,2023-12-27,0,227
208,AUBALLAR,2023-12-27,0,306
209,US151870,2023-12-26,1,227
210,NRA1933,2023-12-26,4,118
211,CNZGCDBW,2023-12-26,673,1105
212,TWNAKANG,2023-12-26,53,219
213,TWNAKANG,2023-12-25,27,219
214,CNZGCDBW,2023-12-25,94,1105
215,NRA1933,2023-12-25,0,118
216,NRA1933,2023-12-22,0,118
217,AUBALLAR,2023-12-22,1,306
218,TWNAKANG,2023-12-22,36,219
219,US151870,2023-12-22,5,227
220,CNZGCDBW,2023-12-22,466,1105
221,AUBALLAR,2023-12-21,21,306
222,CNZGCDBW,2023-12-21,560,1105
223,TWNAKANG,2023-12-21,59,219
224,NRA1933,2023-12-21,9,118
225,US151870,2023-12-21,18,227
226,TWNAKANG,2023-12-20,47,219
227,US151870,2023-12-20,24,227
228,AUBALLAR,2023-12-20,40,306
229,CNZGCDBW,2023-12-20,627,1105
230,NRA1933,2023-12-20,15,118
231,AUBALLAR,2023-12-19,20,306
232,TWNAKANG,2023-12-19,59,219
233,US151870,2023-12-19,55,227
234,CNZGCDBW,2023-12-19,753,1105
235,NRA1933,2023-12-19,21,118
236,TWNAKANG,2023-12-18,40,219
237,NRA1933,2023-12-18,1,118
238,AUBALLAR,2023-12-18,20,306
239,CNZGCDBW,2023-12-18,740,1111
240,US151870,2023-12-18,10,227
241,AUBALLAR,2023-12-15,6,306
242,TWNAKANG,2023-12-15,33,219
243,CNZGCDBW,2023-12-15,207,1111
244,NRA1933,2023-12-15,0,118
245,US151870,2023-12-15,10,227
246,NRA1933,2023-12-14,43,118
247,TWNAKANG,2023-12-14,59,219
248,AUBALLAR,2023-12-14,56,306
249,CNZGCDBW,2023-12-14,206,1111
250,US151870,2023-12-14,56,227
251,US151870,2023-12-13,66,227
252,TWNAKANG,2023-12-13,61,219
253,AUBALLAR,2023-12-13,82,306
254,CNZGCDBW,2023-12-13,251,1111
255,NRA1933,2023-12-13,27,118
256,NRA1933,2023-12-12,39,118
257,CNZGCDBW,2023-12-12,661,1111
258,TWNAKANG,2023-12-12,61,219
259,US151870,2023-12-12,122,227
260,AUBALLAR,2023-12-12,83,306
261,US151870,2023-12-11,15,227
262,AUBALLAR,2023-12-11,44,306
263,TWNAKANG,2023-12-11,47,219
264,NRA1933,2023-12-11,0,118
265,CNZGCDBW,2023-12-11,587,1111
266,NRA1933,2023-12-08,0,118
267,AUBALLAR,2023-12-08,3,306
268,US151870,2023-12-08,10,227
269,CNZGCDBW,2023-12-08,462,1111
270,TWNAKANG,2023-12-08,45,219
271,TWNAKANG,2023-12-07,63,219
272,AUBALLAR,2023-12-07,57,306
273,NRA1933,2023-12-07,23,118
274,US151870,2023-12-07,84,227
275,CNZGCDBW,2023-12-07,597,1111
276,CNZGCDBW,2023-12-06,670,1111
277,NRA1933,2023-12-06,23,118
278,AUBALLAR,2023-12-06,82,306
279,US151870,2023-12-06,57,227
280,TWNAKANG,2023-12-06,54,219
281,US151870,2023-12-05,81,227
282,TWNAKANG,2023-12-05,56,219
283,NRA1933,2023-12-05,37,118
284,CNZGCDBW,2023-12-05,672,1111
285,AUBALLAR,2023-12-05,74,306
286,US151870,2023-12-04,23,227
287,AUBALLAR,2023-12-04,65,306
288,TWNAKANG,2023-12-04,34,219
289,CNZGCDBW,2023-12-04,640,1115
290,NRA1933,2023-12-04,3,118
291,AUBALLAR,2023-12-01,0,306
292,TWNAKANG,2023-12-01,28,219
293,NRA1933,2023-12-01,2,118
294,CNZGCDBW,2023-12-01,454,1115
295,US151870,2023-12-01,10,227
296,NRA1933,2023-11-30,31,118
297,CNZGCDBW,2023-11-30,617,1115
298,TWNAKANG,2023-11-30,57,219
299,US151870,2023-11-30,72,227
300,AUBALLAR,2023-11-30,46,306
301,US151870,2023-11-29,39,227
302,TWNAKANG,2023-11-29,55,219
303,CNZGCDBW,2023-11-29,669,1115
304,NRA1933,2023-11-29,13,118
305,AUBALLAR,2023-11-29,74,306
306,AUBALLAR,2023-11-28,87,306
307,CNZGCDBW,2023-11-28,705,1106
308,NRA1933,2023-11-28,33,118
309,TWNAKANG,2023-11-28,63,219
310,US151870,2023-11-28,80,227
311,TWNAKANG,2023-11-27,36,219
312,CNZGCDBW,2023-11-27,684,1106
313,US151870,2023-11-27,19,227
314,AUBALLAR,2023-11-27,43,306
315,NRA1933,2023-11-27,2,118
316,TWNAKANG,2023-11-24,31,219
317,NRA1933,2023-11-24,0,118
318,US151870,2023-11-24,1,227
319,AUBALLAR,2023-11-24,32,306
320,CNZGCDBW,2023-11-24,437,1113
321,CNZGCDBW,2023-11-23,557,1110
322,AUBALLAR,2023-11-23,76,306
323,US151870,2023-11-23,15,227
