DATETIME,TEMP_AIR,HUMIDITY,KW,KW2
2019-09-15 00:00:00,18.7,80,690.48,69.048
2019-09-15 01:00:00,18.2,83,685.44,68.544
2019-09-15 02:00:00,18.2,83,656.88,65.688
2019-09-15 03:00:00,18.2,83,655.2,65.52
2019-09-15 04:00:00,18.3,82,660.24,66.024
2019-09-15 05:00:00,18.3,81,630,63
2019-09-15 06:00:00,18.4,81,609.84,60.984
2019-09-15 07:00:00,18,83,608.16,60.816
2019-09-15 08:00:00,18.7,80,596.4,59.64
2019-09-15 09:00:00,20.7,70,483.84,48.384
2019-09-15 10:00:00,22.4,66,493.92,49.392
2019-09-15 11:00:00,23.9,60,514.08,51.408
2019-09-15 12:00:00,26.3,52,525.84,52.584
2019-09-15 13:00:00,28.5,48,530.88,53.088
2019-09-15 14:00:00,29.3,43,527.52,52.752
2019-09-15 15:00:00,29.7,40,517.44,51.744
2019-09-15 16:00:00,29.7,39,510.72,51.072
2019-09-15 17:00:00,28.9,41,525.84,52.584
2019-09-15 18:00:00,27.1,48,697.2,69.72
2019-09-15 19:00:00,26.2,53,757.68,75.768
2019-09-15 20:00:00,25,58,744.24,74.424
2019-09-15 21:00:00,24.3,56,740.88,74.088
2019-09-15 22:00:00,23.7,61,737.52,73.752
2019-09-15 23:00:00,22.9,64,705.6,70.56
2019-09-16 00:00:00,22,69,700.56,70.056
2019-09-16 07:00:00,20.1,76,451.92,45.192
2019-09-16 08:00:00,21.8,69,485.52,48.552
2019-09-16 09:00:00,25,58,8.4,0.84
2019-09-16 10:00:00,26.9,47,488.88,48.888
2019-09-16 11:00:00,29.9,39,483.84,48.384
2019-09-16 12:00:00,32.6,28,455.28,45.528
2019-09-16 13:00:00,32.9,25,493.92,49.392
2019-09-16 14:00:00,33.3,17,551.04,55.104
2019-09-16 15:00:00,33.8,17,529.2,52.92
2019-09-16 16:00:00,33.6,18,530.88,53.088
2019-09-16 17:00:00,32.3,16,532.56,53.256
2019-09-16 18:00:00,30.3,23,576.24,57.624
2019-09-16 19:00:00,28.9,26,552.72,55.272
2019-09-16 20:00:00,27.5,31,552.72,55.272
2019-09-16 21:00:00,25.9,39,539.28,53.928
2019-09-16 22:00:00,24.6,42,564.48,56.448
2019-09-16 23:00:00,23.9,46,737.52,73.752
2019-09-17 00:00:00,24.1,46,714,71.4
2019-09-17 01:00:00,22.8,50,708.96,70.896
2019-09-17 02:00:00,22.4,52,708.96,70.896
2019-09-17 03:00:00,21.5,56,702.24,70.224
2019-09-17 04:00:00,20.8,60,685.44,68.544
2019-09-17 05:00:00,20.5,64,682.08,68.208
2019-09-17 06:00:00,19.9,68,695.52,69.552
2019-09-17 07:00:00,21.4,64,680.4,68.04
2019-09-17 08:00:00,23.5,55,710.64,71.064
2019-09-17 09:00:00,27,42,715.68,71.568
2019-09-17 10:00:00,29.4,31,740.88,74.088
2019-09-17 11:00:00,31.2,27,761.04,76.104
2019-09-17 12:00:00,32.5,24,792.96,79.296
2019-09-17 13:00:00,32.4,22,806.4,80.64
2019-09-17 14:00:00,33.1,19,611.52,61.152
2019-09-17 15:00:00,33.3,19,616.56,61.656
2019-09-17 16:00:00,33.1,18,611.52,61.152
2019-09-17 17:00:00,32.7,20,626.64,62.664
2019-09-17 18:00:00,30.9,24,643.44,64.344
2019-09-17 19:00:00,29.4,28,609.84,60.984
2019-09-17 20:00:00,25.8,53,591.36,59.136
2019-09-17 21:00:00,25.2,55,648.48,64.848
2019-09-17 22:00:00,25.3,48,735.84,73.584
2019-09-17 23:00:00,24.7,53,720.72,72.072
2019-09-18 00:00:00,24.4,51,712.32,71.232
2019-09-18 01:00:00,23.9,51,712.32,71.232
2019-09-18 02:00:00,23.8,48,710.64,71.064
2019-09-18 03:00:00,22.6,55,710.64,71.064
2019-09-18 04:00:00,22.6,53,712.32,71.232
2019-09-18 05:00:00,23.3,48,697.2,69.72
2019-09-18 06:00:00,23.4,39,707.28,70.728
2019-09-18 07:00:00,24.4,39,702.24,70.224
2019-09-18 08:00:00,26.1,33,745.92,74.592
2019-09-18 09:00:00,27.5,30,772.8,77.28
2019-09-18 10:00:00,29.3,28,786.24,78.624
2019-09-18 11:00:00,31,23,804.72,80.472
2019-09-18 12:00:00,32,20,804.72,80.472
2019-09-18 13:00:00,32.8,19,804.72,80.472
2019-09-18 14:00:00,33.6,17,794.64,79.464
2019-09-18 15:00:00,33.9,15,804.72,80.472
2019-09-18 16:00:00,33.9,15,798,79.8
2019-09-18 17:00:00,32.9,16,792.96,79.296
2019-09-18 18:00:00,23.2,57,791.28,79.128
2019-09-18 19:00:00,19.4,74,757.68,75.768
2019-09-18 20:00:00,20,66,732.48,73.248
2019-09-18 21:00:00,18.9,73,740.88,74.088
2019-09-18 22:00:00,18.6,75,737.52,73.752
2019-09-18 23:00:00,18.2,79,702.24,70.224
2019-09-19 00:00:00,18.2,77,683.76,68.376
2019-09-19 01:00:00,18.1,77,682.08,68.208
2019-09-19 04:00:00,18.2,76,677.04,67.704
2019-09-19 05:00:00,18,77,672,67.2
2019-09-19 06:00:00,18,78,685.44,68.544
2019-09-19 07:00:00,18.5,77,702.24,70.224
2019-09-19 08:00:00,19.3,73,705.6,70.56
2019-09-19 09:00:00,20.8,67,692.16,69.216
2019-09-19 10:00:00,22.3,59,720.72,72.072
2019-09-19 11:00:00,24.5,54,740.88,74.088
2019-09-19 12:00:00,27.5,45,774.48,77.448
2019-09-19 13:00:00,30.1,31,784.56,78.456
2019-09-19 14:00:00,31.7,25,787.92,78.792
2019-09-19 15:00:00,31.2,28,789.6,78.96
2019-09-19 16:00:00,30,28,762.72,76.272
2019-09-19 17:00:00,22.7,71,727.44,72.744
2019-09-19 18:00:00,19.5,84,750.96,75.096
2019-09-19 19:00:00,19.6,83,750.96,75.096
2019-09-19 20:00:00,19.7,80,720.72,72.072
2019-09-19 21:00:00,20,78,720.72,72.072
2019-09-19 22:00:00,20.1,78,719.04,71.904
2019-09-19 23:00:00,20.1,81,695.52,69.552
2019-09-20 00:00:00,19.8,79,693.84,69.384
2019-09-20 01:00:00,19.6,78,680.4,68.04
2019-09-20 02:00:00,19.8,79,690.48,69.048
2019-09-20 03:00:00,20.4,75,690.48,69.048
2019-09-20 04:00:00,20.4,75,690.48,69.048
2019-09-20 05:00:00,20.6,75,670.32,67.032
2019-09-20 06:00:00,20.7,76,651.84,65.184
2019-09-20 07:00:00,19.8,79,643.44,64.344
2019-09-20 08:00:00,20.4,77,666.96,66.696
2019-09-20 09:00:00,22.4,69,653.52,65.352
2019-09-20 10:00:00,23.8,60,658.56,65.856
2019-09-20 11:00:00,25.3,54,631.68,63.168
2019-09-20 12:00:00,26.7,54,638.4,63.84
2019-09-20 13:00:00,27.3,50,677.04,67.704
2019-09-20 14:00:00,26.5,55,745.92,74.592
2019-09-20 15:00:00,25.7,55,737.52,73.752
2019-09-20 16:00:00,25.4,49,745.92,74.592
2019-09-20 17:00:00,23.9,54,740.88,74.088
2019-09-20 18:00:00,23.1,58,764.4,76.44
2019-09-20 19:00:00,23,59,771.12,77.112
2019-09-20 20:00:00,23,60,754.32,75.432
2019-09-20 21:00:00,20.2,82,725.76,72.576
2019-09-20 22:00:00,19.6,85,630,63
2019-09-20 23:00:00,17.9,86,608.16,60.816
2019-09-21 00:00:00,17.2,85,604.8,60.48
2019-09-21 01:00:00,16.9,84,586.32,58.632
2019-09-21 02:00:00,16.3,85,588,58.8
2019-09-21 03:00:00,16.1,85,589.68,58.968
2019-09-21 04:00:00,16.5,82,581.28,58.128
2019-09-21 05:00:00,16.3,86,576.24,57.624
2019-09-21 06:00:00,16.3,85,572.88,57.288
2019-09-21 07:00:00,16.7,84,601.44,60.144
2019-09-21 08:00:00,16.2,85,604.8,60.48
2019-09-21 09:00:00,16.5,85,588,58.8
2019-09-21 10:00:00,17.3,82,589.68,58.968
2019-09-21 11:00:00,17.6,80,611.52,61.152
2019-09-21 12:00:00,17.2,81,609.84,60.984
2019-09-21 13:00:00,17.4,81,665.28,66.528
2019-09-21 14:00:00,18.3,76,680.4,68.04
2019-09-21 15:00:00,18.1,75,653.52,65.352
2019-09-21 16:00:00,18.3,75,651.84,65.184
2019-09-21 17:00:00,17.5,77,460.32,46.032
2019-09-21 18:00:00,17.1,80,482.16,48.216
2019-09-21 19:00:00,16.9,79,487.2,48.72
2019-09-21 20:00:00,16.6,81,472.08,47.208
2019-09-21 21:00:00,16.7,80,467.04,46.704
2019-09-21 22:00:00,16.6,81,589.68,58.968
2019-09-21 23:00:00,16.7,81,604.8,60.48
2019-09-22 00:00:00,16.8,81,591.36,59.136
2019-09-22 01:00:00,16.7,82,582.96,58.296
2019-09-22 02:00:00,16.7,82,566.16,56.616
2019-09-22 03:00:00,16.8,82,557.76,55.776
2019-09-22 04:00:00,16.5,84,556.08,55.608
2019-09-22 05:00:00,16.8,83,524.16,52.416
2019-09-22 06:00:00,16.5,86,522.48,52.248
2019-09-22 07:00:00,16.4,88,515.76,51.576
2019-09-22 08:00:00,17.1,83,517.44,51.744
2019-09-22 09:00:00,16.9,83,554.4,55.44
2019-09-22 10:00:00,16.5,86,559.44,55.944
2019-09-22 11:00:00,17.2,81,564.48,56.448
2019-09-22 12:00:00,17.8,77,579.6,57.96
2019-09-22 13:00:00,17.6,77,456.96,45.696
2019-09-22 14:00:00,17.5,77,443.52,44.352
2019-09-22 15:00:00,17.1,78,445.2,44.52
2019-09-22 16:00:00,16.8,76,451.92,45.192
2019-09-22 17:00:00,15.8,82,446.88,44.688
2019-09-22 18:00:00,15.5,80,455.28,45.528
